artist.hotness,artist.name,duration,latitude,location,longitude,loudness,release.id,release.name,similar,song.hotness,tempo,genre,time_signature,song.title,year
0.401997543,Casual,219,37.15735675,California - LA,-63.93335787,-11.197,300848,Fear Itself,ARV4KO21187FB38008,0.60211999,92.198,hip hop,4,I Didn't Mean To,0
0.401723686,Gob,210,37.15735675,Not available,-63.93335787,-4.501,611336,Muertos Vivos,ARUA62A1187B99D9B0,0.604500739,129.738,pop punk,4,Face the Ashes,2007
0.332275747,Planet P Project,270,37.15735675,Not available,-63.93335787,-13.496,358182,Pink World,ARWVP631187FB4D016,0.265861049,86.643,new wave,4,Pink World,1984
0.296268954,JennyAnyKind,219,35.21962,North Carolina,-80.01955,-10.021,539081,I Need You,AR9AM2N1187B9AD2F1,0,146.765,alternative rock,1,Young Boy Blues,0
0.351555861,Wayne Watson,245,37.15735675,"Wisner, LA",-63.93335787,-7.545,163874,The Way Home,ARKNAD81187B98F8C9,0.265861049,117.975,contemporary_christian_music,4,The Urgency (LP Version),0
0.37948217,Andy Andy,226,37.15735675,Not available,-63.93335787,-6.632,575792,Placer & Castigo,ARATQJ61187B9B97E3,0,130.04,bachata,4,La Culpa,0
0.251936525,Bob Azzam,192,37.15735675,Not available,-63.93335787,-7.75,815863,Arrivederci,AR3QRJ91187B98E4C2,0,137.334,chanson,1,Auguri Cha Cha,0
0.447935481,Blue Rodeo,491,43.64856,"Toronto, Ontario, Canada",-79.38533,-8.576,135122,Outskirts,ARGCEMX1187B9921A4,0.405115722,119.826,country rock,4,Floating,1987
0.330806357,Richard Souther,229,37.16793,United States,-95.84502,-16.11,149958,Cross Currents,AR6UR8S1187B9B928F,0.334706549,127.756,chill-out,5,High Tide,0
0.51346329,Tesla,290,37.15735675,Not available,-63.93335787,-5.271,372309,Gold,ARO353H1187B9A43E9,0.684136191,150.062,hard rock,4,Caught In A Dream,2004
0,lextrical,166,37.15735675,Not available,-63.93335787,-6.787,541101,Whatever Happened To Boredom?,ARDKYXY11E2835EB51,0,138.331,indietronica,4,Synthetic Dream,0
0.328553015,Alice Stuart,221,38.8991,Washington,-77.029,-8.514,239740,All The Good Times,AR0MN9F1187B9A9F71,0,110.382,electric blues,1,Kassie Jones,0
0.378254686,Elena,270,49.80388,Dubai UAE,15.47491,-8.05,386995,Un cafe_ setanta matins,ARDFZRH1269FCD3ADD,0.313562114,111.874,uk garage,4,Setanta matins,0
0.541888972,The Dillinger Escape Plan,208,40.82624,"Morris Plains, NJ",-74.47995,-4.264,223365,Miss Machine,ARNUJQM1187FB3EE72,0.666527846,166.862,math-core,4,Setting Fire to Sleeping Giants,2004
0.306242264,SUE THOMPSON,125,37.83721,"Nevada, MO",-94.35868,-12.332,652784,Sue Thompson - Her Very Best,ARD92TH1187FB57ACD,0.495293621,137.522,pop rock,4,James (Hold The Ladder Steady),1985
0.363651365,Five Bolt Main,225,37.15735675,Not available,-63.93335787,-5.908,45730,Live,ARXXRJJ1187B9B4DCF,0.375984302,164.672,post-grunge,1,Made Like This (Live),0
0.299230368,Faye Adams,156,40.73197,"Newark, NJ",-74.17418,-18.051,373723,Shake A Hand,ARRB15P1187FB3B0DF,0,95.957,jump blues,3,Crazy Mixed Up World,1961
0.416173065,Terry Callier,343,41.88415,Chicago,-87.63241,-11.939,228326,Occasional Rain,ARTB5PP1187FB523B7,0.413739836,110.189,soul jazz,3,Do You Finally Need A Friend,1972
0.452789477,John Wesley,485,27.94017,Brandon,-82.32547,-15.335,463514,The Emperor Falls,ARRJTPR11F4C8473CF,0.377531645,138.007,disco,4,The Emperor Falls,0
0.418216518,The Shangri-Las,165,40.7038,"Queens, NY",-73.83168,-10.922,643400,Best of The Shangri-Las,ARXY7M01187B9B7611,0.443291312,130.1,doo-wop,1,Twist and Shout,1964
0.384611084,Billie Jo Spears,133,30.08615,"Beaumont, TX",-94.10158,-9.983,663761,20 Of Her Best,AR7HM181187FB3CFC1,0,160.839,classic country,1,It Makes No Difference Now,1992
